environment_biome	environment_biome_hl	environment_biome_hl2
anaerobic digester	terrestrial_probable	land
building	unclassified	unclassified
grassland soil (ENVO:00000106)	terrestrial	land
freshwater river biome [ENVO:01000253]	terrestrial	freshwater
mock community culture [ENVO:01001059]	unclassified	unclassified
ocean biome [ENVO:01000048]|marine biome [ENVO: 00000447]	marine	unclassified
oral_swab	unclassified	unclassified
colonic_biopsy	unclassified	unclassified
dairy product	terrestrial	land
mediterranean (ENVO:01000207)	unclassified	unclassified
feed	unclassified	unclassified
silage	terrestrial	land
VCaP	unclassified	unclassified
Canga	unclassified	unclassified
subsurface_salt_formation	unclassified	unclassified
Mouse-gut	terrestrial_probable	unclassified
freshwater river	terrestrial	freshwater
Headwater stream	unclassified	other_terrestrial_water
Chicken digestive system	terrestrial	unclassified
Agricultural biome	terrestrial	unclassified
seagrass meadow	marine	unclassified
mouse gut	terrestrial_probable	land
Blank/Mock	unclassified	unclassified
marine ultramafic hydrothermal vent biome ENVO:01000053	marine	unclassified
marine basaltic hydrothermal vent biome ENVO:01000054	marine	unclassified
infant	unclassified	unclassified
mycobiota	unclassified	unclassified
GSC MIxS human vaginal	terrestrial_probable	land
biological soil crust	terrestrial_probable	land
Temperate rainforest	terrestrial	land
microbiota	unclassified	unclassified
Bulk	unclassified	unclassified
sandy soil	terrestrial_probable	land
SWD gut	unclassified	unclassified
temperate	unclassified	unclassified
Gallus_gallus	unclassified	unclassified
ENVO:01000313	unclassified	unclassified
cow milk cheese	terrestrial	land
cow milk	terrestrial	land
terrestrial biome (ENVO:00000446)	terrestrial	land
human gut microbiome	terrestrial_probable	land
human breastmilk microbiome	terrestrial_probable	land
ENVO:00001998	unclassified	unclassified
Freshwater lake biom	terrestrial	freshwater
marine environment	marine	unclassified
limnic environment	unclassified	unclassified
brackish environment	marine_and_terrestrial	other_terrestrial_water
horticulture greenhouse	terrestrial	land
kelp forest	terrestrial	land
Stool sample	unclassified	unclassified
ENVO:00000195	unclassified	unclassified
aerobic granular sludge	unclassified	unclassified
activated sludge	unclassified	unclassified
permafrost	terrestrial	land
Aquatic biome ENVO:00002030	unclassified	unclassified
subtropical grassland biome	terrestrial	land
FKLD	unclassified	unclassified
SATL	unclassified	unclassified
WTRA	unclassified	unclassified
NATR	unclassified	unclassified
NAST	unclassified	unclassified
NADR	unclassified	unclassified
SANT	unclassified	unclassified
ANTA	unclassified	unclassified
APLR	unclassified	unclassified
coniferous forest biome	terrestrial	land
Ocean Water	marine	other_terrestrial_water
NTPG	unclassified	unclassified
NPST	unclassified	unclassified
SSTC	unclassified	unclassified
NPPF	unclassified	unclassified
PSAG	unclassified	unclassified
BERS	unclassified	unclassified
SPSG	unclassified	unclassified
NEWZ	unclassified	unclassified
PEQD	unclassified	unclassified
PNEC	unclassified	unclassified
xeric basin biome	terrestrial	land
Mediterranean climate	unclassified	unclassified
lake	terrestrial	freshwater
fish farm	unclassified	unclassified
cecum	unclassified	unclassified
D.magna	unclassified	unclassified
Blank	unclassified	unclassified
Algea	unclassified	unclassified
neritic epipelagic zone biome	marine	unclassified
ENVO:00003009	unclassified	unclassified
Saline Lake Sediment	terrestrial	unclassified
Ground water	terrestrial	other_terrestrial_water
Taiga_Boreal_forest	terrestrial	land
pig gut	terrestrial	land
horse gut	terrestrial	land
giant tortoise gut	unclassified	unclassified
baboon gut	unclassified	unclassified
In vitro culture	unclassified	unclassified
bore hole water	unclassified	other_terrestrial_water
Terrestrial biome ENVO:00000446	terrestrial	unclassified
ENVO:00002988	unclassified	unclassified
Pig Fecal material	terrestrial	unclassified
Horse Fecal material	terrestrial	unclassified
Human Fecal material	terrestrial_probable	unclassified
Giant Tortoise Fecal material	unclassified	unclassified
Baboon Fecal material	unclassified	unclassified
Cattle rumen	terrestrial	land
neritic sub-littoral zone	unclassified	unclassified
mouse gastrointestinal tract	terrestrial_probable	land
cave sediment	unclassified	unclassified
cave crusts	unclassified	unclassified
benthos	unclassified	unclassified
Aged care home	unclassified	unclassified
deciduous forest	terrestrial	land
Vespa velutina gut	unclassified	unclassified
Vespa velutina	unclassified	unclassified
intestinal environment	unclassified	unclassified
cow teat skin	terrestrial	land
prokaryotes	unclassified	unclassified
gut microbiome	unclassified	unclassified
eukaryotes	unclassified	unclassified
Apical Leaf	unclassified	unclassified
natural prairial soil	terrestrial_probable	land
animal litter	unclassified	unclassified
city (ENVO:00000856)	terrestrial	land
Untreated field plot	unclassified	unclassified
vaginal sample	terrestrial_probable	unclassified
subpolar biome	unclassified	unclassified
laboratory environment	terrestrial_probable	land
animal-associated environment	unclassified	unclassified
fresh waterENVO:00002011	terrestrial	freshwater
Coastal peatland (fen)	marine_and_terrestrial	unclassified
Environmental	unclassified	unclassified
taiga	terrestrial	land
Algae	unclassified	unclassified
Engineered	unclassified	unclassified
acquatic	unclassified	unclassified
Mixed	unclassified	unclassified
1000221 - Temperate woodland	terrestrial	land
786-O	unclassified	unclassified
Caco-2 enterocytes	unclassified	unclassified
sam_T1xT2_alpha	unclassified	unclassified
sam_T1xT2_beta	unclassified	unclassified
sam_T1xT2_gamma	unclassified	unclassified
sam_T1xT2_delta	unclassified	unclassified
sam_T1xT2_epsilon	unclassified	unclassified
sam_T1xT2_PHI	unclassified	unclassified
sam_T1xT2_phi	unclassified	unclassified
sam_T1xNT1_a	unclassified	unclassified
sam_T1xNT1_b	unclassified	unclassified
sam_T1xNT1_c	unclassified	unclassified
sam_T1xNT1_e	unclassified	unclassified
sam_T1xNT1_w	unclassified	unclassified
sam_T2xNT2_A	unclassified	unclassified
sam_T2xNT2_B	unclassified	unclassified
sam_T2xNT2_C	unclassified	unclassified
sam_T2xNT2_D	unclassified	unclassified
sam_T2xNT2_E	unclassified	unclassified
sam_T2xNT2_F	unclassified	unclassified
sam_T2xNT2_G	unclassified	unclassified
sam_T2xNT2_H	unclassified	unclassified
sam_T2xNT2_I	unclassified	unclassified
sam_T2xNT2_J	unclassified	unclassified
sam_T2xNT2_K	unclassified	unclassified
sam_T2xNT2_L	unclassified	unclassified
sam_T2xNT2_M	unclassified	unclassified
sam_T2xNT2_N	unclassified	unclassified
sam_T2xNT2_O	unclassified	unclassified
sam_T2xNT2_P	unclassified	unclassified
sam_T2xNT2_Q	unclassified	unclassified
sam_T2xNT2_R	unclassified	unclassified
sam_T2xNT2_S	unclassified	unclassified
sam_T2xNT2_T	unclassified	unclassified
sam_T2xNT2_U	unclassified	unclassified
sam_T2xNT2_V	unclassified	unclassified
sam_T2xNT2_W	unclassified	unclassified
sam_NT1xNT2_I	unclassified	unclassified
sam_NT1xNT2_II	unclassified	unclassified
sam_NT1xNT2_III	unclassified	unclassified
sam_NT1xNT2_IV	unclassified	unclassified
sam_NT1xNT2_V	unclassified	unclassified
sam_NT1xNT2_VI	unclassified	unclassified
sam_NT1xNT2_VII	unclassified	unclassified
sam_NT1xNT2_VIII	unclassified	unclassified
sam_NT1xNT2_IX	unclassified	unclassified
sam_NT1xNT2_X	unclassified	unclassified
sam_NT1xNT2_XI	unclassified	unclassified
sam_NT1xNT2_XII	unclassified	unclassified
sam_NT1xNT2_XIII	unclassified	unclassified
sam_NT1xNT2_XIV	unclassified	unclassified
sam_NT1xNT2_XV	unclassified	unclassified
sam_NT1xNT2_XVI	unclassified	unclassified
sam_NT1xNT2_XVII	unclassified	unclassified
sam_NT1xNT2_XVIII	unclassified	unclassified
sam_NT1xNT2_XIX	unclassified	unclassified
sam_NT1xNT2_XX	unclassified	unclassified
sam_NT1xNT2_XXI	unclassified	unclassified
sam_NT1xNT2_XXII	unclassified	unclassified
sam_NT1xNT2_XXIII	unclassified	unclassified
sam_NT1xNT2_XXIV	unclassified	unclassified
sam_NT1xNT2_XXV	unclassified	unclassified
sam_NT1xNT2_XXVI	unclassified	unclassified
sam_NT1xNT2_XXVII	unclassified	unclassified
Anaerobic	unclassified	unclassified
Temperate Biome	unclassified	unclassified
marine reef biome	marine	unclassified
marine pelagic biome (ENVO:01000023)	marine	unclassified
karstic river	terrestrial	freshwater
coastal	marine_and_terrestrial	unclassified
stable	unclassified	unclassified
Batch anaerobic digester	terrestrial_probable	land
Rumen fluids	terrestrial	unclassified
Rat Gut	terrestrial_probable	unclassified
aquatic biome [ENVO:00002030]|aquifer biome	terrestrial_probable	unclassified
continental subsurface zone	terrestrial_probable	land
broad-leaved forest	terrestrial	land
Entic Haplustolls	unclassified	unclassified
Tropical Coastal Lagoon	marine_and_terrestrial	unclassified
farm soil	terrestrial_probable	land
Human gut	terrestrial_probable	unclassified
metagenome-environmental, human-associated (ENVO:00000428)	terrestrial_probable	land
intestine environment(ENVO:2100002)	unclassified	unclassified
agricultural ecosystems and natural ecosystems	terrestrial	land
terrestrial subsurface	terrestrial	land
human-associated metagenome	terrestrial_probable	land
percolation water cave	unclassified	other_terrestrial_water
sand/clay	unclassified	unclassified
Biome	unclassified	unclassified
Tropical and subtropical grasslands, savannas, and shrubland biome                     ENVO:00000881	terrestrial	land
village biome[ENVO:01000246]	terrestrial	land
village biome [ENVO:01000246]	terrestrial	land
ENVO:00000876	unclassified	unclassified
marginal sea biome	marine	unclassified
neritic epipelagic zone	marine	unclassified
Temperate broadleaf and mixed forest biome	terrestrial	land
piece of rock	unclassified	unclassified
ENVO:terrestrial biome	terrestrial	land
ENVO:marine water body	marine	other_terrestrial_water
ENVO:city	unclassified	unclassified
ocean biome / ENVO:01000048	marine	unclassified
coastal water	marine_and_terrestrial	other_terrestrial_water
ENVO:01000042	unclassified	unclassified
anthropogenic terrestrial biome (ENVO:01000219)	terrestrial	land
sandy loam soil	terrestrial_probable	land
ENVO:ocean water	marine	other_terrestrial_water
ENVO:marine biome	marine	unclassified
Lake	terrestrial	freshwater
Montane Freshwater	terrestrial	freshwater
oceanic sea surface microlayer biome ENVO:01000034	marine	unclassified
Mediterranean Division - Mountain Provinces (M260) ENVO:00003018	unclassified	unclassified
orchard	terrestrial	land
airways	unclassified	unclassified
marine bathyal zone biome	marine	unclassified
ENVO:Humid Temperate Domain (200)	unclassified	unclassified
Surface sediment	unclassified	unclassified
ENVO:00002997	unclassified	unclassified
subtropical rainforest	terrestrial	land
Sequencing Batch Reactor	terrestrial_probable	unclassified
pond	terrestrial	freshwater
ENVO:01000004	unclassified	unclassified
Arid desert	terrestrial	land
Hyperarid desert	terrestrial	land
00002150	unclassified	unclassified
00000447	unclassified	unclassified
farm	terrestrial	land
ENVO:temperate broadleaf and mixed forest biome	terrestrial	land
ENVO:aquatic biome	unclassified	unclassified
human-associated biome	terrestrial_probable	land
Microbial communities	unclassified	unclassified
Sediment surface	unclassified	unclassified
Warm Continental Division	terrestrial_probable	unclassified
Terrestrial (ENVO:00000446)	terrestrial	unclassified
ENVO:montane grasslands and shrubland biome	terrestrial	land
ENVO:Tropical and subtropical moist broadleaf forest biome	terrestrial	land
Deciduous woodland	terrestrial	land
Deep Subsurface	unclassified	unclassified
Temperate coniferous forest biome	terrestrial	land
ENVO:cropland	terrestrial	land
Cockroach-associated biome	unclassified	unclassified
ENVO:mammalia-associated habitat	unclassified	unclassified
Human-associated biome	terrestrial_probable	unclassified
Tropical humid forests	terrestrial	land
patient	unclassified	unclassified
Lymphnode	unclassified	unclassified
paddy field	terrestrial	land
GI	unclassified	unclassified
Temperate Grassland	terrestrial	unclassified
Terrestrial soil	terrestrial	unclassified
temperate woodland	terrestrial	land
Pine forest	terrestrial	land
human mouth	terrestrial_probable	land
ENVO:01000126 neritic sublittoral zone	unclassified	unclassified
polar desert biome (ENVO:01000186)	terrestrial	land
brackish	marine_and_terrestrial	other_terrestrial_water
dense settlement biome (ENVO:01000248)	terrestrial	land
ENVO:mediterranean sea biome	marine	unclassified
bacterioplankton	marine	unclassified
Tropical and subtropical grasslands, savannas, and shrubland biome	terrestrial	land
ENVO:Tropical and subtropical coniferous forest biome	terrestrial	land
ENVO:Temperate grasslands, savannas, and shrubland biome	terrestrial	land
ENVO:taiga	terrestrial	land
ENVO:00003024	unclassified	unclassified
Dilution Basin Mediterranean	unclassified	unclassified
